,line,schedule,map,en-update,en-reason,es-update,es-reason,hy-update,hy-reason,zh-tw-update,zh-tw-reason,ko-update,ko-reason,ja-update,ja-reason,ru-update,ru-reason,vi-update,vi-reason
10,35,035_TT_12-10-23.pdf,,Weekday and Saturday schedules have been updated.,Improve reliability.,Se actualizaron los horarios entre semana y de los sábados.,Mejorar la fiabilidad.,Թարմացվել են աշխատանքային և կիրակի օրերերի ժամանակացույցերը։,Բարելավել հուսալիությունը:,平日和週六時刻表已更新。,提升可靠性。,평일 및 토요일 일정이 업데이트되었습니다.,안정성을 개선합니다.,平日と土曜日のスケジュールが更新されました。,信頼の向上に努めます。,Обновлены расписания на будние дни и субботы.,Повысить надежность.,Lịch trình các ngày thường trong tuần và Thứ Bảy đã được cập nhật.,Cải thiện độ tin cậy.
11,37,037_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
12,38,038_TT_12-10-23.pdf,,"Late evening service adjusted to operate every 60 minutes instead of every 30 minutes.
",Align with ridership levels.,"Servicio nocturno ajustado para operar cada 60 minutos en lugar de cada 30 minutos.
",Adaptarse a los niveles de pasajeros,"Ուշ երեկոյան սպասարկումը հարմարեցվել է գործելու 60 րոպեն մեկ՝ 30 րոպեի փոխարեն:
",հարմարեցնել ուղևորությունների մակարդակների հետ:,"夜間班次已調整，發車間隔從每60分鐘一班縮短為每30分鐘一班。
",配合載客量。,"심야 서비스 운행의 배차 간격이 30분에서 60분으로 조정되었습니다.
",탑승객 수에 따른 조정 조치입니다.,"深夜便は30分間隔から60分間隔に変更されます。
",利用者数に合わせるため。,"рейсы поздним вечером будут совершаться каждые 60 минут вместо 30.
",скорректировать график движения в соответствии с пассажиропотоком.,"Dịch vụ tối muộn được điều chỉnh để chạy với tần suất 60 phút/chuyến thay vì 30 phút.
",Điều chỉnh cho phù hợp với lượng hành khách.
13,40,040_TT_12-10-23.pdf,,Weekday and Saturday schedules have been updated.,Improve reliability.,Se actualizaron los horarios entre semana y de los sábados.,Mejorar la fiabilidad.,Թարմացվել են աշխատանքային և կիրակի օրերերի ժամանակացույցերը։,Բարելավել հուսալիությունը:,平日和週六時刻表已更新。,提升可靠性。,평일 및 토요일 일정이 업데이트되었습니다.,안정성을 개선합니다.,平日と土曜日のスケジュールが更新されました。,信頼の向上に努めます。,Обновлены расписания на будние дни и субботы.,Повысить надежность.,Lịch trình các ngày thường trong tuần và Thứ Bảy đã được cập nhật.,Cải thiện độ tin cậy.
14,45,045_TT_12-10-23.pdf,,"One additional AM peak trip added northbound and one additional PM peak trip added
southbound weekdays.",Accommodate increased ridership.,"Se agregó un viaje adicional en horario pico matutino con dirección al norte y un viaje en horario pico vespertino hacia el
sur entre semana.",Satisfacer las demandas de una mayor cantidad de pasajeros,"Առավոտյան պիկ ժամերին մեկ լրացուցիչ ուղևորություն ավելացվել է դեպի հյուսիս, և ևս մեկ աշխատանքային օրվա պիկ ժամերին ուղևորություն ավելացվել է երեկոյան 
դեպի հարավ:",ապահովել ուղևորահոսքի ավելացում։,平日上午尖峰時段加開一班北向班次，下午尖峰時段加開一班南向班次。,因應增加的載客量。,"평일애 북부 방면으로 오전 피크 시간대 운행편 1회, 남부 방면으로 오후 피크 시간대
운행편 1회가 증편되었습니다.",탑승객 수 증가에 따른 조정 조치입니다.,平日の午前ピーク時に北行きが1便、午後ピーク時に南行きが1便追加されます。,利用者の増加に対応するため。,"добавлен один дополнительный рейс в утренние часы пик в северном направлении и один дополнительный рейс в вечерние часы пик
в южном направлении по будням.",обеспечить перевозку большего количества пассажиров.,"Thêm một chuyến vào giờ cao điểm buổi sáng đi về phía bắc và thêm một chuyến vào giờ cao điểm buổi chiều đi
về phía nam trong các ngày thường.",Đáp ứng lượng hành khách tăng cao.
15,48,048_TT_12-10-23.pdf,,One weekday PM trip extended to C Line Avalon Station.,Accommodate increased ridership.,Un viaje por la tarde entre semana ampliado a la estación Avalon de la C Line.,Satisfacer las demandas de una mayor cantidad de pasajeros,Մեկ աշխատանքային օրվա կեսօրվա ուղևորությունը երկարացվել է դեպի C Line Avalon Station:,ապահովել ուղևորահոսքի ավելացում։,平日中午過後有一個班次路線延伸至C Line Avalon Station。,因應增加的載客量。,평일 오후에 C Line Avalon Station으로 운행편 1회가 연장됩니다.,탑승객 수 증가에 따른 조정 조치입니다.,平日午後1便がC Line Avalon Stationまで延長されます。,利用者の増加に対応するため。,один рейс по вечерам в будни продлен до станции C Line Avalon.,обеспечить перевозку большего количества пассажиров.,Một chuyến đi vào buổi chiều các ngày thường kéo dài tới C Line Avalon Station.,Đáp ứng lượng hành khách tăng cao.
16,51,051_TT_12-10-23.pdf,,51 (Avalon Bl) CSU Dominguez Hils to Westlake/MacArthur Park Station – New stop added on Central Av south of Victoria St in Carson on northbound trips.,More convenient local access.,Nueva parada en Central Av South de Victoria St en Carson en los viajes hacia el norte.,Brindar un acceso local más conveniente,Նոր կանգառ է ավելացվել  Central Av-ում՝ Victoria St-ից հարավ՝ Carson-ում՝ հյուսիսային ճանապարհորդությունների ժամանակ:,ավելի հարմար տեղաշարժ:,北向車趟在Carson的Victoria St以南增設新的Central Av停靠站。,提高當地交通運輸的便捷性。,Carson에서 Victoria St 남부의 Central Av에 신규 정류장이 추가되었습니다.,현지에서 더욱 편리하게 이용할 수 있도록 취한 조치입니다.,北行き便のCarsonのVictoria Stの南、Central Avに新しい停留所が追加されます。,ローカルアクセスの利便性向上。,добавлена новая остановка на Central Av к югу от Victoria St в Carson в северном направлении.,обеспечить более удобный подъезд.,Thêm điểm dừng mới trên Central Av phía nam Victoria St tại Carson trong các chuyến về phía bắc.,Tiếp cận khu vực địa phương thuận tiện hơn.
17,53,053_TT_12-10-23.pdf,Line 53.png,"Will no longer utilize the I-105 freeway in the Willowbrook area and will instead utilize Imperial Hwy, Compton Av, and 120th St while traveling to/ from Willowbrook/Rosa Parks Station. Bus stops will be relocated from Central Av/120th St to Central Av south of 120th St in both directions.",Improve reliability.,"Ya no se utilizará la autopista I-105 en el área de Willowbrook; en su lugar, se utilizará Imperial Hwy, Compton Av, y 120th St cuando se viaje desde y hacia la estación Willowbrook/Rosa Parks. Las paradas de autobuses se reubicarán de Central Av/120th St a Central Av al sur de 120th St en ambas direcciones.",Mejorar la confiabilidad,"Այլևս չի օգտագործի I-105 մայրուղին Willowbrook տարածքում, իսկ փոխարենը կօգտագործի Imperial Hwy, Compton Av և 120th St՝ դեպի, ինչպես նաև Willowbrook/Rosa Parks Station-ից: Ավտոբուսի կանգառները Central Av/120th St-ից կտեղափոխվեն Central Av՝ 120th St-ից հարավ՝ երկու ուղղություններով:",բարելավել հուսալիությունը:,將不再使用Willowbrook區域的I-105高速公路，往返Willowbrook/Rosa Parks Station會改用Imperial Hwy、Compton Av以及120th St。公車雙向停靠站將從原本的Central Av/120th St搬遷至120th St以南的Central Av。,提升可靠性。,"Willowbrook 지역에서 더 이상 I-105 고속도로를 이용하지 못하며, 대신 Imperial Hwy, Compton Av 및 120th St를 이용해 Willowbrook/Rosa Parks Station 을 오가게 됩니다. Central Av/120th St에서 120th St 의 Central Av 남부까지 양쪽 방면의 버스 정류장 위치가 조정됩니다. ",안정성을 개선하기 위한 조치입니다.,Willowbrook/Rosa Parks Stationを発着する際、WillowbrookエリアではI-105フリーウェイではなく、Imperial Hwy、Compton Av、120th Stを利用するようになります。バス停留所は、両方面でCentral Av/120th Stから120th Stの南、Central Avに移設されます。,安定性の向上。,"Маршрут 53 (Central Ave) от CSU Dominguez Hills до Downtown LA больше не будет проходить по автомагистрали I-105 в районе Willowbrook; вместо этого движение на участке от станции Willowbrook/Rosa Parks и обратно будет осуществляться по Imperial Hwy, Compton Av и 120th St. Автобусные остановки в обоих направлениях будут перенесены с перекрестка Central Av/120th St на Central Av к югу от 120th St.",повысить стабильность курсирования транспорта.,"Sẽ không còn chạy theo tuyến đường cao tốc I-105 trong khu vực Willowbrook nữa và thay vào đó sẽ chạy theo tuyến Imperial Hwy, Compton Av và 120th St khi đi đến/từ Willowbrook/Rosa Parks Station. Các điểm dừng xe buýt sẽ được di dời từ Central Av/120th St đến Central Av phía nam 120th St theo cả hai chiều.",Cải thiện độ tin cậy.
18,55,055_TT_12-10-23.pdf,,One additional AM peak trip northbound weekdays.,Accommodate increased ridership.,Un viaje adicional en horario pico matutino con dirección al norte entre semana.,Satisfacer las demandas de una mayor cantidad de pasajeros,Մեկ այլ աշխատանքային օրվա պիկ ժամային երթուղի մինչև կեսօր դեպի հյուսիս:,ապահովել ուղևորահոսքի ավելացում։,平日上午尖峰時段加開一班北向班次。,因應增加的載客量。,평일 북부 방면 오전 피크 시간대 운행편이 1회 증편됩니다.,탑승객 수 증가에 따른 조정 조치입니다.,平日の午前ピーク時の北行き便が1便追加されます。,利用者の増加に対応するため。,добавлен один рейс в утренние часы пик в северном направлении. ,обеспечить перевозку большего количества пассажиров.,Thêm một chuyến về phía bắc vào giờ cao điểm buổi sáng các ngày thường.,Đáp ứng lượng hành khách tăng cao.
19,60,060_TT_12-10-23.pdf,,Minor changes to schedule.,Align with ridership levels.,Cambios menores en el horario.,Adaptarse a los niveles de pasajeros,"Minor timing changes, please check schedule.",հարմարեցնել ուղևորությունների մակարդակների հետ:,"Minor timing changes, please check schedule.",配合載客量。,"Minor timing changes, please check schedule.",탑승객 수에 따른 조정 조치입니다.,"Minor timing changes, please check schedule.",利用者数に合わせるため。,"Minor timing changes, please check schedule.",скорректировать график движения в соответствии с пассажиропотоком.,"Minor timing changes, please check schedule.",Điều chỉnh cho phù hợp với lượng hành khách.
20,62,062_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
21,66,,,One new stop added for westbound trips on Whittier Bl at Gerhart St for trips originating from Commerce Center.,More convenient access to the Commerce Center.,Una nueva parada para los viajes al oeste en Whittier Bl en Gerhart St para viajes desde Commerce Center.,Brindar un acceso más conveniente al Commerce Center,Մեկ նոր կանգառ ավելացվեց դեպի արևմուտք ուղևորությունների համար Gerhart St-ի Whittier Blvd-ում՝ Commerce Center-ից եկող ուղևորությունների համար:,ավելի հարմար հասնելու համար Commerce Center:,西向班次在Gerhart St的Whittier Bl增設一個新的停靠站，從Commerce Center發車的班次會停靠此站。,前往Commerce Center更加便利。,Commerce Center에서 출발하는 운행편의 경우 Gerhart St의 Whittier Bl에서 서부 방면으로 향하는 운행편에 신규 정류장 하나가 추가되었습니다.,Commerce Center를 손쉽게 이용할 수 있도록 취한 조치입니다.,Commerce Centerを出発する西行き便の、Gerhart StのWhittier Blに停留所が1つ追加されます。,Commerce Centerへのアクセス向上。,"добавлена одна новая остановка для рейсов в восточном направлении по Whittier Bl на Gerhart St для рейсов, движущихся от Commerce Center.",обеспечить более удобный доступ к Commerce Center.,Đã thêm một điểm dừng mới cho các chuyến về phía tây trên Whittier Bl tại Gerhart St cho các chuyến xuất phát từ Commerce Center.,Đến Commerce Center thuận tiện hơn.
22,70,070_TT_12-10-23.pdf,,Minor changes to schedule.,Align with ridership levels.,Cambios menores en el horario.,Adaptarse a los niveles de pasajeros,"Minor timing changes, please check schedule.",հարմարեցնել ուղևորությունների մակարդակների հետ:,"Minor timing changes, please check schedule.",配合載客量。,"Minor timing changes, please check schedule.",탑승객 수에 따른 조정 조치입니다.,"Minor timing changes, please check schedule.",利用者数に合わせるため。,"Minor timing changes, please check schedule.",скорректировать график движения в соответствии с пассажиропотоком.,"Minor timing changes, please check schedule.",Điều chỉnh cho phù hợp với lượng hành khách.
23,81,081_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
24,90,090_TT_12-10-23.pdf,Line 90.png,"Altered to terminate at the new Historic Broadway A & E Line light rail station in Downtown LA, on Broadway northbound between 2nd and 3rd St.",More convenient connections to rail and better access to Downtown LA.,"Se modificó para que la ruta termine en la nueva estación de tren ligero Historic Broadway de la A Line y la E Line  en Downtown LA, sobre Broadway hacia el norte entre 2nd y 3rd St.",Ofrecer conexiones más convenientes al tren y un mejor acceso al centro de LA,"Փոփոխվել է՝ ավարտվելով նոր պատմական Broadway A և E Line թեթև երկաթուղային կայարանում՝ Downtown LA,-ում, Broadway-ում դեպի հյուսիս՝ 2nd և 3rd St.։",ավելի հարմար միացումներ դեպի երկաթուղի և ավելի լավ մուտք դեպի Downtown LA:, 終點站調整為新設的Historic Broadway A Line及E Line輕軌車站，位於Downtown LA的Broadway北向2nd St和3rd St之間。,往返列車車站連接路線更便利，前往Downtown LA也更便捷。,종착지가 2번가와 3번가 사이의 Broadway 북부 방면에 있는 Downtown LA 신규 Historic Broadway A & E Line 경전철 역으로 변경되었습니다.,철도 연결성의 편의를 증진하고 Downtown LA로의 접근성을 개선하기 위한 조치입니다.,Downtown LAのBroadway北行き2nd Stと3rd Stの間にあるライトレール、Historic Broadway A LineおよびE Lineの新駅が終点となります。,鉄道への接続改善、Downtown LAへのアクセスが向上。,"новая конечная остановка на станции наземного метро Historic Broadway A и E Line в Downtown LA, в северном направлении по Broadway между 2nd и 3rd St.",обеспечить более удобную пересадку на поезда и более удобный доступ к Downtown LA.,"Đã thay đổi để kết thúc tại ga đường sắt hạng nhẹ Historic Broadway A & E Line mới ở Downtown LA, trên đường Broadway về phía bắc giữa 2nd và 3rd St.",Kết nối thuận tiện hơn với đường sắt và đến Downtown LA dễ dàng hơn.
25,94,094_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
26,102,102_TT_12-10-23.pdf,,"Weekday, Saturday, and Sunday schedules have been updated.",Improve reliability.,Se actualizaron los horarios entre semana y de los días sábados y domingos.,Mejorar la fiabilidad.,"Թարմացվել են աշխատանքային, շաբաթ և կիրակի օրերերի ժամանակացույցերը։",Բարելավել հուսալիությունը:,平日、週六和週日時刻表已更新。,提升可靠性。,"평일 및 토요일, 일요일 일정이 업데이트되었습니다.",안정성을 개선합니다.,平日、土曜日、日曜日のスケジュールが更新されました。,信頼の向上に努めます。,"Обновлены расписания на будние дни, субботы и воскресенья.",Повысить надежность.,"Lịch trình các ngày thường trong tuần, Thứ Bảy và Chủ Nhật đã được cập nhật.",Cải thiện độ tin cậy.
27,105,105_TT_12-10-23.pdf,,Saturday schedules have been updated.,Improve reliability.,Se actualizaron los horarios de los sábados.,Mejorar la fiabilidad.,Թարմացվել են շաբաթ օրերի ժամանակացույցերը։,Բարելավել հուսալիությունը:,週六時刻表已更新。,提升可靠性。,토요일 일정이 업데이트되었습니다.,안정성을 개선합니다.,土曜日のスケジュールが更新されました。,信頼の向上に努めます。,Обновлено расписание на субботу.,Повысить надежность.,Lịch trình Thứ Bảy đã được cập nhật.,Cải thiện độ tin cậy.
28,106,106_TT_12-10-23.pdf,,Weekday schedules have been updated.,Improve reliability.,Se actualizaron los horarios entre semana.,Mejorar la fiabilidad.,Թարմացվել են աշխատանքային օրերերի ժամանակացույցերը։,Բարելավել հուսալիությունը:,平日時刻表已更新。,提升可靠性。,평일 일정이 업데이트되었습니다.,안정성을 개선합니다.,平日のスケジュールが更新されました。,信頼の向上に努めます。,Обновлены расписания на будние дни.,Повысить надежность.,Lịch trình các ngày thường trong tuần đã được cập nhật.,Cải thiện độ tin cậy.
29,108,108_TT_12-10-23.pdf,,Extended to Rosemead Bl in Pico Rivera to connect with Line 266. Selected Line 108 trips that currently start or end at Bell or Cudahy will be extended from Slauson Av via Eastern Av to Washington Bl at City of Commerce.,Improve local access and better connections to other bus lines.,Se amplió a Rosemead Bl en Pico Rivera para conectarse con Line 266. Los viajes seleccionados de Line 108 que actualmente comienzan o terminan en Bell o Cudahy se ampliarán desde Slauson Av por Eastern Av a Washington Bl en City of Commerce.,Mejorar el acceso local y las conexiones con otras líneas de autobuses,"Ընդլայնված է Rosemead Bl-ում Pico Rivera-ում՝ Line 266-ի հետ կապվելու համար: Ընտրված Line 108-ի ուղևորությունները, որոնք ներկայումս սկսվում կամ ավարտվում են Bell-ում կամ Cudahy-ում, ընդլայնվելու են Slauson Av-ից Eastern Av-ով մինչև Washington Bl՝ City of Commerce-ում:",բարելավել տեղաշարժը և ավելի լավ կապեր այլ ավտոբուսային գծերի հետ:,延伸至Pico Rivera的Rosemead Bl，以便與Line 266連接。某些目前起訖站在Bell或Cudahy的Line 108班次將從Slauson Av經由Eastern Av延伸至City of Commerce的Washington Bl。,提高當地交通便利，與其他公車路線的連接路線也會更加順暢。,Line 266과 연결하기 위해 Pico Rivera의 Rosemead Bl까지 연장됩니다. 현재 Bell이나 Cudahy에서 출발하거나 종료되는 Line 108의 일부 운행편이 Slauson Av에서 Eastern Av를 경유하여 City of Commerce의 Washington Bl까지 연장됩니다.,현지의 접근성을 개선하고 다른 버스 노선과의 연결성을 도모하기 위한 조치입니다.,Pico RiveraのRosemead Blまで延長され、Line 266と接続されます。現在BellまたはCudahyを始点または終点とするLine 108の一部便は、Slauson AvからEastern Avを経由し、Washington BlのCity of Commerceまで延長されます。,ローカルアクセスの向上と他のバス路線への接続改善。,"Маршрут 108 (Slauson Av) от Marina Del Rey до Pico Rivera продлен до Rosemead Bl в Pico Rivera для пересадки на Line 266. Отдельные рейсы Line 108, которые в данный момент начинаются или заканчиваются в Bell или Cudahy, будут продлены от Slauson Av через Eastern Av до Washington Bl в City of Commerce.",оптимизировать доступ и пересадки на другие автобусные маршруты.,Kéo dài đến Rosemead Bl ở Pico Rivera để kết nối với Line 266. Các chuyến Line 108 được chọn hiện bắt đầu hoặc kết thúc tại Bell hoặc Cudahy sẽ được kéo dài từ Slauson Av qua Eastern Av tới Washington Bl tại City of Commerce.,Cải thiện khả năng tiếp cận khu vực địa phương và kết nối hiệu quả hơn với các tuyến xe buýt khác.
30,110,110_TT_12-10-23.pdf,,"Weekday, Saturday, and Sunday schedules have been updated.",Improve reliability.,Se actualizaron los horarios entre semana y de los días sábados y domingos.,Mejorar la fiabilidad.,"Թարմացվել են աշխատանքային, շաբաթ և կիրակի օրերերի ժամանակացույցերը։",Բարելավել հուսալիությունը:,平日、週六和週日時刻表已更新。,提升可靠性。,"평일 및 토요일, 일요일 일정이 업데이트되었습니다.",안정성을 개선합니다.,平日、土曜日、日曜日のスケジュールが更新されました。,信頼の向上に努めます。,"Обновлены расписания на будние дни, субботы и воскресенья.",Повысить надежность.,"Lịch trình các ngày thường trong tuần, Thứ Bảy và Chủ Nhật đã được cập nhật.",Cải thiện độ tin cậy.
