,field,en-content,es-content,hy-content,zh-tw-content,ko-content,ja-content,ru-content,vi-content
13,introP1,"Starting December 10th, Metro is making changes to bus and rail service to provide more frequent and reliable trips. We’re improving frequencies
on the A, C, E and K Lines and adjusting
37 weekday, 29 Saturday, and 24 Sunday
bus schedules to improve reliability, and
route and stop changes to various bus
lines to improve service for riders.","A partir del 10 de diciembre, Metro hará cambios en el servicio de autobuses y trenes para ofrecer viajes más confiables y más frecuentes. Estamos mejorando la frecuencia del servicio 
en la A Line, la C Line, la E Line y la K Line, y ajustaremos 
37 horarios de autobuses entre semana, 29 los sábados y 24 los domingos 
para mejorar la confiabilidad, y
estamos modificando las rutas y paradas de varias líneas
de autobuses para mejorar el servicio para los pasajeros.","Դեկտեմբերի 10-ից Metro-ն փոփոխություններ է կատարում ավտոբուսային և երկաթուղային ծառայության մեջ՝ ավելի հաճախակի և հուսալի ուղևորություններ ապահովելու համար: Մենք բարելավում ենք հաճախականությունները 
 A, C, E և K Line- երում և ճշգրտում ենք
37 աշխատանքային օրվա, 29 շաբաթվա և 24 կիրակիի
 ավտոբուսների ժամանակացույցերը՝ բարելավելու հուսալիությունը, ինչպես նաև 
երթուղիների և կանգառների փոփոխությունները տարբեր ավտոբուսային
գծերում՝ ուղևորների սպասարկումը բարելավելու համար:","自12月10日起，Metro的巴士和軌道服務將有所異動，以便提供更密集穩定的車班。我們會增加
A、C、E和K Line的班次密集度，並調整37班平日、29班週六和24班週日公車時刻表，提高班次穩定度，多條公車路線和停靠站也會有所異動，藉此提高我們對乘客提供的服務品質。","12월 10일부터 Metro는 운행편을 증편하고 믿음직한 여정을 탑승객에게 제공하고자 버스 및 철도 서비스 변경 조치를 진행합니다. 
A, C, E, K Line의 배차 간격을 개선하고
37일의 평일, 29일의 토요일, 24일의 일요일
버스 일정을 조정해 안정성을 개선하며,
노선과 정류장을 다양한 버스 노선으로 변경해 탑승객에게 더 나은 서비스를 제공하고자 합니다.",12月10日より、Metroでは増便と運行便の安定化を図るため、バスと鉄道の運行に関する改定を行います。A、C、E、K Lineを増便し、平日37本、土曜29本、日曜24本のバスダイヤを調整して信頼性を向上させるほか、さまざまなバス路線でルートや停留所を変更し、利用者のサービス向上に努めます。,"С 10 декабря Metro вносит изменения в график движения автобусов и поездов, чтобы повысить частоту и стабильность курсирования транспорта. Для повышения стабильности курсирования транспорта мы увеличиваем частоту движения 
на маршрутах A, C, E и K Line и вносим изменения в
37 графиков движения автобусов по будням, 29 — по субботам и 24 — по воскресеньям.
Кроме того, в целях улучшения качества обслуживания пассажиров мы изменяем
маршруты и остановки некоторых автобусов.","Từ ngày 10 tháng 12, Metro sẽ thực hiện các thay đổi đối với dịch vụ xe buýt và đường sắt để cung cấp các chuyến đi thường xuyên và đáng tin cậy hơn. Chúng tôi sẽ cải thiện tần suất 
trên các Line A, C, E và K, đồng thời điều chỉnh
37 lịch trình ngày thường, 29 lịch trình Thứ Bảy và 24 lịch trình Chủ Nhật
đối với xe buýt để cải thiện độ tin cậy, cũng như
thay đổi tuyến đường và điểm dừng cho nhiều tuyến xe buýt
khác nhau nhằm cải thiện dịch vụ dành cho hành khách."
14,intro_02,"Rail:
We heard our light rail riders asking for more frequent and later rail services, especially now with growing rail ridership and three new light rail
stations for easier access to Downtown LA.","Trenes:
Escuchamos a los pasajeros del tren ligero que pedían servicios de trenes más frecuentes y hasta más tarde, especialmente ahora con el aumento de la cantidad de pasajeros y las tres nuevas estaciones de tren ligero
para facilitar el acceso al centro de LA.","Երկաթուղի.
 Ի պատասխան մեր թեթև երկաթուղային տրանսպորտի ուղևորների հարցումներին, որոնք խնդրում էին ավելի հաճախակի և ավելի ուշ ժամերի երկաթուղային ծառայություններ, այժմ առաջարկում ենք ընդլայնվող երկաթուղային տրանսպորտ և երեք նոր երկաթուղային 
կայաններ՝ Downtown LA ավելի հեշտ հասնելու համար:",鐵路：據說我們的輕軌乘客希望列車班次能夠更加密集，營業時間也能夠往後延，尤其現在列車載客量成長且增開了三個輕軌前往Downtown LA更加便利。,"철도:
경전철의 새로운 역 세 곳으로 Downtown LA의 접근성이 쉬워지고
특히 현재 경전철 탑승객이 늘어나며 경전철 탑승객들이 더 잦은 경전철 운행 빈도와 운행 시간을 연장한 철도 서비스를 원하신다는 소식을 들었습니다.",鉄道：ライトレールをご利用のお客様から、増便と遅い時間帯での運行を求める声がありました。鉄道利用者の増加に応じて、Downtown LAへのアクセスに便利なライトレール駅が3つ新設されます。,"Поезда:
мы прислушались к просьбам пассажиров наземного метро об увеличении частоты и продлении времени движения поездов, что особенно важно сейчас, когда выросло количество пассажиров метро и открылись три новые
станции для более удобного доступа к Downtown LA.","Đường sắt:
Chúng tôi nhận thấy hành khách sử dụng dịch vụ đường sắt hạng nhẹ yêu cầu các dịch vụ đường sắt thường xuyên hơn và muộn hơn, đặc biệt khi lượng hành khách hiện đang tăng lên và với ba ga đường sắt hạng nhẹ mới
cho phép hành khách đến Downtown LA dễ dàng hơn."
15,intro_03,The A Line (Long Beach – Downtown LA – Azusa) and E Line (Santa Monica – Downtown LA – East LA) will both have the following improvements to frequency so riders wait less time for the train:,La A Line (Long Beach - Downtown LA - Azusa) y la E Line (Santa Monica - Downtown LA- East LA) tendrán las siguientes mejoras en la frecuencia para que los pasajeros esperen el tren menos tiempo.,"A Line (Long Beach – Downtown LA – Azusa) և E Line (Santa Monica – Downtown LA – East LA) երկուսն էլ կունենան հետևյալ հաճախականության բարելավումները, որպեսզի ուղևորները ավելի քիչ ժամանակ սպասեն գնացքին.",A Line (Long Beach – Downtown LA – Azusa) 和E Line (Santa Monica – Downtown LA – East LA) 透過下列異動，班次密集度都會提高，乘客等候列車的時間也可以縮短：,A Line(Long Beach – Downtown LA – Azusa) 및 E Line(Santa Monica – Downtown LA – East LA) 모두 다음과 같이 운행 빈도가 개선되어 탑승객들의 열차 대기 시간이 줄어듭니다.,A Line（Long Beach - Downtown LA - Azusa）およびE Line（Santa Monica - Downtown LA - East LA）では、待ち時間が短縮されるよう、以下のように増便されます。,На маршрутах A Line (Long Beach — Downtown LA — Azusa) и E Line (Santa Monica — Downtown LA — East LA) будут введены указанные далее изменения для увеличения частоты движения поездов и сокращения времени ожидания.,Cả Line A (Long Beach – Downtown LA – Azusa) và Line E (Santa Monica – Downtown LA – East LA) đều sẽ có những cải thiện về tần suất như dưới đây để giảm thời gian hành khách phải chờ tàu:
16,intro_04,"> Weekday peak hour trains will operate every 8 minutes instead of 10 minutes.
> Weekday midday and Saturday/Sunday 9am to 7pm trains will operate every 10 minutes instead of 12 minutes.
> Two additional trains will be added at the end of the nightly schedule each direction on both the A and E lines, extending service by an extra 40 minutes each night, weekdays and weekends, with much-requested later last
departures from Long Beach, APU Citrus
(Azusa), and Santa Monica after 11:30pm.","> Los trenes en horas pico entre semana operarán cada 8 minutos en lugar de cada 10 minutos.
> Los trenes entre semana al medio día, y los sábados y domingos de 9 a. m. a 7 p. m., operarán cada 10 minutos en lugar de cada 12 minutos.
> Se agregarán dos trenes adicionales al final del horario nocturno en ambas direcciones de la A Line y la E Line, con lo cual se ampliará el servicio 40 minutos más cada noche, entre semana y los fines de semana, con un servicio más tarde tan solicitado con 
salidas desde Long Beach, APU Citrus
(Azusa) y Santa Monica, después de las 11:30 p. m.","> Շաբաթվա պիկ ժամերին գնացքները կաշխատեն 8 րոպեն մեկ՝ 10 րոպեի փոխարեն: 
> Շաբաթվա կեսօր և շաբաթ/կիրակի օրերին առավոտյան 9-ից մինչև երեկոյան 7-ը գնացքները կաշխատեն 10 րոպեն մեկ՝ 12 րոպեի փոխարեն:
> Երկու հավելյալ գնացք կավելացվի գիշերային գրաֆիկի ավարտին յուրաքանչյուր ուղղությամբ A և E line-երի վրա՝ երկարացնելով ծառայությունը հավելյալ 40 րոպեով ամեն գիշեր, աշխատանքային օրերին և հանգստյան օրերին, շատ պահանջված ուշ ժամերին վերջին 
մեկնումներով Long Beach-ից, APU Citrus-ից
(Azusa) և  Santa Monica-ից երեկոյան 23:30-ից հետո:","> 平日尖峰時段的列車發車間隔將從每10分鐘一班改為每8分鐘一班。> 平日午間和週六/週日上午9點至晚上7點的列車發車間隔將從每12分鐘一班改為每10分鐘一班。> A Line與E Line夜間時刻表將加開兩班雙向末班列車，每晚、平日與週末行駛時間往後延長40分鐘，以因應需求高的夜班車，這些車班會在晚上11:30過後行經Long Beach、APU Citrus
(Azusa) 以及Santa Monica，將之前的末班車時間往後延。",">평일 피크 시간대에 열차는 10분 대신 8분 간격으로 운행됩니다. 
> 평일 정오 및 토요일/일요일 오전 9시~오후 7시에 열차는 12분 대신 10분 간격으로 운행됩니다. 
>A, E Line 모두 야간 운행 시간대 마지막에 방향별로 2편의 열차가 증편되어 평일과 주말 모두 매일 밤 운행 시간이 40분씩 추가로 연장되며, 요청이 많았던 Long Beach, APU Citrus(Azusa), 및 Santa Monica 의 마지막 배차가 오후 11시 30분 이후로 조정됩니다.",> 平日のピーク時は10分間隔から8分間隔に変更されます。> 平日の昼間および土日の午前9時から午後7時までは12分間隔から10分間隔に変更されます。> A LineとE Lineの夜間ダイヤの最後にそれぞれ2本ずつ追加され、平日・週末を問わず毎晩40分延長され、要望の多かったLong Beach、APU Citrus（Azusa）、Santa Monica発の最終時刻を午後11時30分以降に遅らせます。,"> В часы пик по будним дням поезда будут курсировать с промежутком 8 минут вместо 10.
> В обеденное время по будним дням, а также с 9:00 до 19:00 по субботам/воскресеньям поезда будут курсировать с промежутком 10 минут вместо 12. > В ночное расписание на маршруты A и E Line будут добавлены два дополнительных поезда в каждом направлении, что позволит продлить время обслуживания еще на 40 минут в будни и выходные дни, при этом по многочисленным просьбам пассажиров последние поезда
будут отправляться от станций Long Beach, APU Citrus
(Azusa) и Santa Monica после 23:30.","> Vào giờ cao điểm trong ngày thường, tàu sẽ chạy với tần suất 8 phút/chuyến thay vì 10 phút.
> Vào buổi trưa ngày thường và từ 9 giờ sáng đến 7 giờ chiều Thứ Bảy/Chủ Nhật, tàu sẽ chạy với tần suất 10 phút/chuyến thay vì 12 phút.
> Sẽ có thêm hai chuyến tàu được bổ sung vào cuối lịch trình hàng đêm mỗi chiều trên cả line A và E, kéo dài thời gian dịch vụ thêm 40 phút mỗi đêm, trong cả ngày thường và ngày cuối tuần, với các chuyến muộn nhất theo yêu cầu của nhiều hành khách sẽ khởi hành muộn hơn
từ Long Beach, APU Citrus
(Azusa) và Santa Monica sau 11:30 đêm."
17,intro_05,The C Line (Norwalk – Redondo Beach) will have the following improvements to frequency so riders have shorter wait times for the train:,La C Line (Norwalk – Redondo Beach) tendrá las siguientes mejoras en la frecuencia para que el tiempo de espera de los pasajeros sea menor.,"C Line-ը (Norwalk – Redondo Beach) կունենա հաճախականության հետևյալ բարելավումները, որպեսզի ուղեվորները գնացքի սպասման ավելի կարճ ժամանակ ունենան.",C Line (Norwalk – Redondo Beach) 的下列異動將提高班次密集度，使乘客候車時間縮短：,C Line(Norwalk – Redondo Beach)은 운행 빈도가 다음과 같이 개선되어 열차 대기 시간이 더 줄어듭니다.,C Line（Norwalk - Redondo Beach）では、待ち時間が短縮されるよう、以下のように増便されます。,На маршруте C Line (Norwalk — Redondo Beach) будут введены указанные далее изменения для увеличения частоты движения поездов и сокращения времени ожидания.,Line C (Norwalk – Redondo Beach) sẽ có những cải thiện về tần suất như dưới đây để rút ngắn thời gian hành khách phải chờ tàu:
18,intro_06,> Weekday midday and Saturday/Sunday 9 am to 7 pm trains will operate every 10 minutes instead of 15 minutes.,"> Entre semana al mediodía y los sábados y domingos, de 9 a. m. a 7 p. m., los trenes operarán cada 10 minutos en lugar de cada 15 minutos.",> Շաբաթվա օրերին կեսօրը և շաբաթ/կիրակի առավոտյան 9-ից մինչև երեկոյան 7-ը գնացքները կաշխատեն 15 րոպեի փոխարեն 10 րոպեն մեկ:,> 平日午間和週六/週日上午9點至晚上7點的列車發車間隔將從每15分鐘一班改為每10分鐘一班。,> 평일 정오 및 토요일/일요일 오전 9시~오후 7시에 열차는 15분이 아닌 10분 간격으로 운행됩니다.,> 平日昼間および土曜・日曜の午前9時から午後7時までは15分間隔から10分間隔に変更されます。,"> В обеденное время по будням, а также с 9:00 до 19:00 по субботам/воскресеньям поезда будут курсировать с промежутком 10 минут вместо 15.","> Vào buổi trưa ngày thường và từ 9 giờ sáng đến 7 giờ tối Thứ Bảy/Chủ Nhật, tàu sẽ chạy với tần suất 10 phút/chuyến thay vì 15 phút. ​"
19,intro_07,"The K Line (Expo/Crenshaw – Westchester/Veterans) will have the following improvements to
frequency so riders have shorter wait times for the train:","La K Line (Expo/Crenshaw – Westchester/Veterans) tendrá las siguientes mejoras en la 
frecuencia para que el tiempo de espera de los pasajeros sea menor:","K Line-ը (Expo/Crenshaw – Westchester/Veterans) կունենա հաճախականության հետևյալ բարելավումները
, որպեսզի ուղևորները գնացքի սպասման ավելի կարճ ժամանակ ունենան.",K Line (Expo/Crenshaw – Westchester/Veterans) 的下列異動將提高班次密集度，使乘客候車時間縮短：,"K Line(Expo/Crenshaw – Westchester/Veterans)은 운행 빈도가 다음과 같이 개선되어
탑승객의 열차 대기 시간이 더 줄어듭니다.",K Line（Expo/Crenshaw - Westchester/Veterans）では、待ち時間が短縮されるよう、以下のように増便されます。,"На маршруте K Line (Expo/Crenshaw — Westchester/Veterans) будут внесены указанные далее изменения
для увеличения частоты движения поездов и сокращения времени ожидания.","Line K (Expo/Crenshaw – Westchester/Veterans) sẽ có những cải thiện về
tần suất như dưới đây để rút ngắn thời gian hành khách phải chờ tàu:"
20,intro_08,"> Weekday midday trains will operate every 10 minutes instead of 12 minutes.
> Note: K Line weekend service, trains will operate every 20 minutes all day Saturday and Sunday due to construction and testing work to connect the C and K Lines and new LAX/Metro Transit Center Station (scheduled opening end of 2024).","> Entre semana al mediodía, los trenes operarán cada 10 minutos en lugar de cada 12 minutos.
> Nota: Para el servicio de fin de semana de la K Line, los trenes operarán cada 20 minutos todo el día los sábados y domingos debido a los trabajos de construcción y pruebas para conectar la C Line y la K Line y la nueva estación LAX/Metro Transit Center (apertura programada para finales de 2024).","> Շաբաթվա կեսօրվա գնացքները կաշխատեն 10 րոպեն մեկ՝ 12 րոպեի փոխարեն:
> Նշում․ շաբաթավերջին K Line ծառայությունը, գնացքները կաշխատեն ամեն 20 րոպեն մեկ ամբողջ օրը շաբաթ և կիրակի՝ C և K Line-երը և նոր LAX/Metro Transit Center Station-ը միացնելու շինարարական և փորձարարական աշխատանքների պատճառով (պլանավորված բացումը 2024 թ.-ի վերջ):",> 平日午間列車的發車間隔將從每12分鐘一班改為每10分鐘一班。> 附註：K Line的週末營運由於連接C Line和K Line與新LAX/Metro Transit Center Station（預定於2024年底開通）的施工及測試作業，列車在週六和週日全天的發車間隔是20分鐘。,"> 평일 정오에 열차는 12분이 아닌 10분의 간격으로 운행됩니다.
> 참고: K Line 주말 서비스 및 열차는 C 및 K Line과 신규 LAX/Metro Transit Center 역(2024년 말 개장 예정) 연결 작업 건설 및 시범 운행으로 인해 토요일 및 일요일은 하루종일 20분마다 운행됩니다.",> 平日昼間は12分間隔から10分間隔に変更されます。> 注：週末のK Line運行については、C LineとK LineおよびLAX/Metro Transit Center Station（2024年末開業予定）の建設・試験工事のため、土日は終日20分間隔で運行します。,"> Днем в будни поезда будут курсировать каждые 10 минут вместо 12.
> Примечание: на маршруте K Line по субботам и воскресеньям поезда будут курсировать каждые 20 минут по причине строительства и испытания соединения маршрутов C и K Line с новой станцией LAX/Metro Transit Center (открытие запланировано на конец 2024 года).","> Vào buổi trưa ngày thường, tàu sẽ chạy với tần suất 10 phút/chuyến thay vì 12 phút.
> Lưu ý: Với dịch vụ cuối tuần của Line K, tàu sẽ chạy với tần suất 20 phút/chuyến suốt cả ngày Thứ Bảy và Chủ Nhật do công việc thi công và thử nghiệm để kết nối các Line C và K với LAX/Metro Transit Center Station mới (dự kiến mở cửa hoạt động vào cuối năm 2024)."
21,intro_09,"Bus:
The bus lines below will have schedule adjustments to improve reliability (lines in bold also have small adjustment to number of trips):","Autobús:
Las siguientes líneas de autobuses tendrán ajustes en sus horarios para aumentar la confiabilidad (las líneas en negritas también tendrán un pequeño ajuste en la cantidad de viajes):","Ավտոբուս․
 Ստորև բերված ավտոբուսային գծերը կունենան ժամանակացույցի ճշգրտումներ՝ հուսալիությունը բարելավելու նպատակով (թավով գծանշումերի փոքրիկ ճշգրտումները նույնպես նշանակություն ունեն ուղևորությունների քանակի նկատմամբ)։",公車：為提高運輸的穩定性，公車路線的時刻表將有所調整（顯示為粗體的公車路線，其班次也會有微幅調整）：,"버스:
아래 버스 노선은 안정성을 개선하기 위해 다음과 같이 일정이 조정됩니다(굵은 글씨로 표시된 노선 역시 운행 편수가 다소 변경됩니다).",バス：以下のバス路線は、運行便の安定化のため、ダイヤ調整が行われます（太字の路線は、運行本数も若干調整されます）。,"Автобусы:
в график движения указанных ниже автобусных маршрутов будут внесены изменения, чтобы повысить стабильность курсирования транспорта (на маршрутах, выделенных жирным, также будет изменено количество рейсов).","Xe buýt:
Các tuyến xe buýt dưới đây được điều chỉnh lịch trình để cải thiện độ tin cậy (các tuyến in đậm cũng có điều chỉnh nhỏ về số chuyến):"
22,intro_10,"Weekday:
4, 16, 18, 30, 33, 35, 38, 40, 53, 90, 102, 106, 110, 111, 117, 134, 154, 158, 179, 182, 205, 206, 211, 215, 224, 232, 237, 240, 243, 246, 251, 267, 487, 489, 617, 910, 950.
Note: Lines 20, 81, 169, 217, 265, 602
have added or adjusted supplementary
school trips.
Lines 10, 60, 70, 105, 150, 204, 754 have
small reduction in trips weekdays and/or
weekends, usually in the early morning or evening period, with service revised in line with ridership levels.","Entre semana:
4, 16, 18, 30, 33, 35, 38, 40, 53, 90, 102, 106, 110, 111, 117, 134, 154, 158, 179, 182, 205, 206, 211, 215, 224, 232, 237, 240, 243, 246, 251, 267, 487, 489, 617, 910, 950.
Nota: Las líneas 20, 81, 169, 217, 265, 602
agregaron o ajustaron 
viajes escolares suplementarios.
Las líneas 10, 60, 70, 105, 150, 204, 754 tendrán
una pequeña reducción de viajes entre semana o  los fines de semana, por lo general, temprano por la mañana o por la tarde, con servicios revisados de acuerdo con los niveles de pasajeros.","Աշխատանքային օրեր․
4, 16, 18, 30, 33, 35, 38, 40, 53, 90, 102, 106, 110, 111, 117, 134, 154, 158, 179, 182, 205, 206, 211, 215, 224, 232, 237, 240, 243, 246, 251, 267, 487, 489, 617, 910, 950։
Նշում․ 20, 81, 169, 217, 265, 602 Line-եր 
են ավելացել կամ ճշգրտվել են լրացուցիչ 
դպրոցական երթուղիներ։
10, 60, 70, 105, 150, 204, 754 Line-երը 
ունեն աշխատանքային օրերի և/կամ
հանգստյան օրերին երթուղիների փոքր կրճատում, սովորաբար վաղ առավոտյան կամ երեկոյան ժամերին․ սպասարկումը վերանայվում է ուղևորությունների մակարդակին համապատասխան:",平日：4、16、18、30、33、35、38、40、53、90、102、106、110、111、117、134、154、158、179、182、205、206、211、215、224、232、237、240、243、246、251、267、487、489、617、910、950。附註：Line 20、81、169、217、265、602已加開或調整加班學校車次。Line 10、60、70、105、150、204、754的平日和/或週末班次有微幅縮減，通常是在早晨或晚上時段配合載客量而調整班次密集度。,"평일:
4, 16, 18, 30, 33, 35, 38, 40, 53, 90, 102, 106, 110, 111, 117, 134, 154, 158, 179, 182, 205, 206, 211, 215, 224, 232, 237, 240, 243, 246, 251, 267, 487, 489, 617, 910, 950.
참고: 20, 81, 169, 217, 265, 602 Line에서
보조적인 학교 운행편을 증편하거나 조정했습니다.
10, 60, 70, 105, 150, 204, 754 Line에서
평일 운행편 및/또는 주말 운행편의 경우
일반적으로 새벽이나 야간 시간대의 운행편이 다소 줄었으며, 탑승객 수에 따라 운행 서비스를 조정했습니다.",平日：4、16、18、30、33、35、38、40、53、90、102、106、110、111、117、134、154、158、179、182、205、206、211、215、224、232、237、240、243、246、251、267、487、489、617、910、950。注：Line 20、81、169、217、265、602は、学校遠足のため追加または調整されます。Line 10、60、70、105、150、204、754は、平日や週末に、通常は早朝または夕方の時間帯に、利用者数に応じて運行本数を若干減らしています。,"Будни:
4, 16, 18, 30, 33, 35, 38, 40, 53, 90, 102, 106, 110, 111, 117, 134, 154, 158, 179, 182, 205, 206, 211, 215, 224, 232, 237, 240, 243, 246, 251, 267, 487, 489, 617, 910, 950.
Примечание: маршруты 20, 81, 169, 217, 265, 602
включают в себя дополнительные или скорректированные
школьные рейсы.
На маршрутах 10, 60, 70, 105, 150, 204, 754 немного
сокращено количество рейсов в будни и (или)
выходные, в основном ранним утром или вечером. Это связано с оценкой пассажиропотока.","Ngày thường:
4, 16, 18, 30, 33, 35, 38, 40, 53, 90, 102, 106, 110, 111, 117, 134, 154, 158, 179, 182, 205, 206, 211, 215, 224, 232, 237, 240, 243, 246, 251, 267, 487, 489, 617, 910, 950.
Lưu ý: Các Line 20, 81, 169, 217, 265, 602
đã thêm hoặc điều chỉnh số
chuyến đến trường học bổ sung.
Các Line 10, 60, 70, 105, 150, 204, 754
giảm bớt số chuyến trong ngày thường và/hoặc
ngày cuối tuần, thường là vào sáng sớm hoặc buổi tối, với tần suất phục vụ được sửa đổi theo lượng hành khách."
23,intro_11,"Saturday:
18, 33, 35, 38, 40, 90, 102, 105, 108, 110, 111, 117, 154, 155, 158, 179, 205, 206, 207, 212, 232, 240, 243, 246, 251, 487, 617, 910, 950","Sábados:
18, 33, 35, 38, 40, 90, 102, 105, 108, 110, 111, 117, 154, 155, 158, 179, 205, 206, 207, 212, 232, 240, 243, 246, 251, 487, 617, 910, 950","Շաբաթ օրերին՝
18, 33, 35, 38, 40, 90, 102, 105, 108, 110, 111, 117, 154, 155, 158, 179, 205, 206, 207, 212, 232, 240, 243, 246, 251, 487, 617, 910, 950",週六：18、33、35、38、40、90、102、105、108、110、111、117、154、155、158、179、205、206、207、212、232、240、243、246、251、487、617、910、950,"토요일:
18, 33, 35, 38, 40, 90, 102, 105, 108, 110, 111, 117, 154, 155, 158, 179, 205, 206, 207, 212, 232, 240, 243, 246, 251, 487, 617, 910, 950",土曜日：18、33、35、38、40、90、102、105、108、110、111、117、154、155、158、179、205、206、207、212、232、240、243、246、251、487、617、910、950,"Суббота:
18, 33, 35, 38, 40, 90, 102, 105, 108, 110, 111, 117, 154, 155, 158, 179, 205, 206, 207, 212, 232, 240, 243, 246, 251, 487, 617, 910, 950","Thứ Bảy:
18, 33, 35, 38, 40, 90, 102, 105, 108, 110, 111, 117, 154, 155, 158, 179, 205, 206, 207, 212, 232, 240, 243, 246, 251, 487, 617, 910, 950"
24,intro_12,"Sunday:
18, 33, 90, 102, 108, 110, 111, 117, 154, 155, 158, 179, 205, 206, 207, 232, 240, 243, 246, 251, 487, 617, 910, 950","Domingos:
18, 33, 90, 102, 108, 110, 111, 117, 154, 155, 158, 179, 205, 206, 207, 232, 240, 243, 246, 251, 487, 617, 910, 950","Կիրակի օրերին՝ ՝
18, 33, 90, 102, 108, 110, 111, 117, 154, 155, 158, 179, 205, 206, 207, 232, 240, 243, 246, 251, 487, 617, 910, 950",週日：18、33、90、102、108、110、111、117、154、155、158、179、205、206、207、232、240、243、246、251、487、617、910、950,"일요일:
18, 33, 90, 102, 108, 110, 111, 117, 154, 155, 158, 179, 205, 206, 207, 232, 240, 243, 246, 251, 487, 617, 910, 950",日曜日：18、33、90、102、108、110、111、117、154、155、158、179、205、206、207、232、240、243、246、251、487、617、910、950,"Воскресенье:
18, 33, 90, 102, 108, 110, 111, 117, 154, 155, 158, 179, 205, 206, 207, 232, 240, 243, 246, 251, 487, 617, 910, 950","Chủ Nhật:
18, 33, 90, 102, 108, 110, 111, 117, 154, 155, 158, 179, 205, 206, 207, 232, 240, 243, 246, 251, 487, 617, 910, 950"
25,intro_13,"Bus lines with new schedules for route
and/or service level changes are as follows:",Líneas de autobuses con nuevos horarios para las rutas o cambios en el nivel de servicio de la siguiente manera:,"Երթուղու և/կամ սպասարկման մակարդակի փոփոխության նոր ժամանակացույցերով
ավտոբուսային գծերը հետևյալն են.",按照新時刻表行駛的公車路線也有路線及/或服務量方面的異動，詳情如下：,"노선 및/또는 서비스 수준이 변경되어
새로운 일정이 적용되는 버스 노선은 다음과 같습니다.",路線やサービスレベルの変更に伴い、新しいダイヤが設定されたバス路線は以下の通りです。,"Ниже перечислены автобусные маршруты с новым графиком движения
и (или) изменениями в уровне обслуживания.","Các tuyến xe buýt có lịch trình mới vì thay đổi tuyến đường
và/hoặc tần suất phục vụ bao gồm:"
