field,en-content,es-content,hy-content,tw-zh-content,ko-content,ja-content,ru-content,vi-content,
takeone_label_hy,English,Español (Spanish),հայերեն (Armenian),中文 (Chinese Traditional),한국어 (Korean),日本語 (Japanese),русский (Russian),Tiếng Việt (Vietnamese),
takeone_label_tw-zh,English,Español (Spanish),հայերեն (Armenian),中文 (Chinese Traditional),한국어 (Korean),日本語 (Japanese),русский (Russian),Tiếng Việt (Vietnamese),
takeone_label_ko,English,Español (Spanish),հայերեն (Armenian),中文 (Chinese Traditional),한국어 (Korean),日本語 (Japanese),русский (Russian),Tiếng Việt (Vietnamese),
takeone_label_ja,English,Español (Spanish),հայերեն (Armenian),中文 (Chinese Traditional),한국어 (Korean),日本語 (Japanese),русский (Russian),Tiếng Việt (Vietnamese),
takeone_label_ru,English,Español (Spanish),հայերեն (Armenian),中文 (Chinese Traditional),한국어 (Korean),日本語 (Japanese),русский (Russian),Tiếng Việt (Vietnamese),
takeone_label_vi,English,Español (Spanish),հայերեն (Armenian),中文 (Chinese Traditional),한국어 (Korean),日本語 (Japanese),русский (Russian),Tiếng Việt (Vietnamese),
takeone_file_en,,,,,,,,,
takeone_file_es,,,,,,,,,
takeone_file_hy,,,,,,,,,
takeone_file_tw-zh,,,,,,,,,
takeone_file_ko,,,,,,,,,
takeone_file_ja,,,,,,,,,
takeone_file_ru,,,,,,,,,
takeone_file_vi,,,,,,,,,
intro_02,"We’re improving frequency on bus lines 152 (Roscoe Bl), 158 (Woodman Av), 166 (Nordhoff St), 265 (Paramount Bl) and 686 (Allen Av, merging with Line 267) to help promote and accommodate increasing ridership.","Estamos mejorando la frecuencia en las líneas de autobús 152 (Roscoe Bl), 158 (Woodman Av), 166 (Nordhoff St), 265 (Paramount Bl) y 686 (Allen Av, fusionando con la Línea 267) para ayudar a promover y acomodar el creciente número de pasajeros.","We’re improving frequency on bus lines 152 (Roscoe Bl), 158 (Woodman Av), 166 (Nordhoff St), 265 (Paramount Bl) and 686 (Allen Av, merging with Line 267) to help promote and accommodate increasing ridership.","Մենք բարելավում ենք Lines 152 (Roscoe Bl), 158 (Woodman Av), 166 (Nordhoff St), 265 (Paramount Bl) և 686 (Allen Av, միաձուլված Line 267-ի հետ) ավտոբուսային գծերի հաճախականությունը՝ օգնելու խթանել և սպասարկել հասարակական տրանսպորտով երթևեկության աճը:",我們將提升巴士路線152 (Roscoe Bl)、158 (Woodman Av)、166 (Nordhoff St)、265 (Paramount Bl) 和686 (Allen Av，與Line 267合併) 的班次頻率，以協助因應提升的載客量。,"승객 수 증가를 유도하고 수용하는 데 도움이 되도록 버스 Line 152(Roscoe Bl), 158(Woodman Av), 166(Nordhoff St), 265(Paramount Bl) 및 686(Allen Av, Line 267과 통합)의 운행 간격을 개선하고 있습니다.",以下の路線で運行頻度を増やし、利用者の増加に対応します。152（Roscoe Bl）、158（Woodman Av）、166（Nordhoff St）、265（Paramount Bl）、686（Allen Av、267と統合）。,"Мы оптимизируем интервал движения автобусов на маршрутах 152 (Roscoe Bl), 158 (Woodman Av), 166 (Nordhoff St), 265 (Paramount Bl) и 686 (Allen Av, объединяется с Line 267), чтобы способствовать росту пассажиропотока и обеспечить соответствующий объем перевозок.","Chúng tôi đang cải thiện tần suất của các tuyến xe buýt 152 (Roscoe Bl), 158 (Woodman Av), 166 (Nordhoff St), 265 (Paramount Bl) và 686 (Allen Av, hợp nhất với Line 267) để giúp thúc đẩy và đáp ứng lượng hành khách ngày càng tăng."
intro_03,"We are also adding a trip or two to Lines 14, 81, 165, and 169 weekdays and Line 62 Saturdays to add capacity in response to increased ridership.","También estamos agregando uno o dos viajes a las Líneas 14, 81, 165 y 169 entre semana y a la Línea 62 los sábados para agregar capacidad en respuesta al aumento de pasajeros.","We are also adding a trip or two to Lines 14, 81, 165, and 169 weekdays and Line 62 Saturdays to add capacity in response to increased ridership.","Մենք նաև ավելացնում ենք մեկ կամ երկու ուղևորություն Lines 14-ին, 81-ին, 165-ին և 169-ին աշխատանքային օրերին և Line 62-ին՝ շաբաթ օրերին՝ ի պատասխան ուղևորափոխադրումների ավելացման:",我們也會對週間的Line 14、81、165和169，以及週六的Line 62增加一或兩個班次，以提高運量來因應增加的載客量。,"또한 승객 수 증가에 대응하여 수용 능력을 늘리기 위해 평일 Line 14, 81, 165, 169와 토요일 Line 62에 1~2회 운행편을 추가하고 있습니다.",また、以下の路線で1～2便の増便を行い、利用者の増加に対応します。平日の14、81、165、169。土曜日の62。,"Мы также добавляем по одному-два рейса на Line 14, Line 81, Line 165 и Line 169 по будням и на Line 62 по субботам, чтобы увеличить пропускную способность в связи с ростом пассажиропотока.","Chúng tôi cũng đang bổ sung thêm một hoặc hai chuyến vào Line 14, Line 81, Line 165 và Line 169 vào các ngày trong tuần và Line 62 vào Thứ Bảy để tăng thêm sức chứa nhằm đáp ứng lượng hành khách tăng lên."
intro_04,"We’re improving reliability through adjusting the following schedules to better reflect actual travel times so our riders will wait less time at stops:

Weekdays (total 49 lines): 2, 4, 14, 20, 28, 33, 37, 51, 66, 78, 81, 90, 92, 102, 108, 110, 111, 120, 158, 161, 169, 182, 206, 210, 211, 212, 215, 217, 222, 232, 234, 237, 256, 260, 265, 266, 267, 268, 294, 577, 602, 605, 611, 662, 665, 720, 761, 910, 950

Saturdays (total 42 lines): 4, 20, 28, 33, 45, 51, 53, 55, 78, 81, 90, 92, 102, 108, 110, 111, 120, 125, 165, 169, 180, 182, 204, 206, 207, 210, 212, 222, 232, 234, 256, 265, 266, 267, 268, 602, 605, 662, 665, 720, 910, 950

Sundays (total 41 lines): 4, 20, 28, 33, 45, 51, 53, 55, 66, 78, 81, 90, 92, 102, 108, 110, 111, 120, 125, 165, 180, 182, 204, 206, 207, 210, 212, 232, 234, 256, 265, 266, 267, 268, 602, 605, 662, 665, 720, 910, 950","Estamos mejorando la confiabilidad ajustando los siguientes horarios para reflejar mejor los tiempos de viaje reales para que nuestros pasajeros esperen menos tiempo en las paradas:

Días de entre semana (49 líneas en total): 2, 4, 14, 20, 28, 33, 37, 51, 66, 78, 81, 90, 92, 102, 108, 110, 111, 120, 158, 161, 169, 182 , 206, 210, 211, 212, 215, 217, 222, 232, 234, 237, 256, 260, 265, 266, 267, 268, 294, 577, 602, 605, 611, 662, 665, 720, 761 , 910, 950

Sábados (42 líneas en total): 4, 20, 28, 33, 45, 51, 53, 55, 78, 81, 90, 92, 102, 108, 110, 111, 120, 125, 165, 169, 180, 182 , 204, 206, 207, 210, 212, 222, 232, 234, 256, 265, 266, 267, 268, 602, 605, 662, 665, 720, 910, 950

Domingos (41 líneas en total): 4, 20, 28, 33, 45, 51, 53, 55, 66, 78, 81, 90, 92, 102, 108, 110, 111, 120, 125, 165, 180, 182 , 204, 206, 207, 210, 212, 232, 234, 256, 265, 266, 267, 268, 602, 605, 662, 665, 720, 910, 950","We’re improving reliability through adjusting the following schedules to better reflect actual travel times so our riders will wait less time at stops:
 
 Weekdays (total 49 lines): 2, 4, 14, 20, 28, 33, 37, 51, 66, 78, 81, 90, 92, 102, 108, 110, 111, 120, 158, 161, 169, 182, 206, 210, 211, 212, 215, 217, 222, 232, 234, 237, 256, 260, 265, 266, 267, 268, 294, 577, 602, 605, 611, 662, 665, 720, 761, 910, 950
 
 Saturdays (total 42 lines): 4, 20, 28, 33, 45, 51, 53, 55, 78, 81, 90, 92, 102, 108, 110, 111, 120, 125, 165, 169, 180, 182, 204, 206, 207, 210, 212, 222, 232, 234, 256, 265, 266, 267, 268, 602, 605, 662, 665, 720, 910, 950
 
 Sundays (total 41 lines): 4, 20, 28, 33, 45, 51, 53, 55, 66, 78, 81, 90, 92, 102, 108, 110, 111, 120, 125, 165, 180, 182, 204, 206, 207, 210, 212, 232, 234, 256, 265, 266, 267, 268, 602, 605, 662, 665, 720, 910, 950","Մենք բարելավում ենք հուսալիությունը՝ կարգավորելով հետևյալ ժամանակացույցերը՝ ավելի լավ արտացոլելով ուղևորության իրական ժամանակները, որպեսզի մեր ուղևորները ավելի քիչ ժամանակ սպասեն կանգառներում։ 
 
 աշխատանքային օրեր (ընդամենը 49 գիծ)․ 2, 4, 14, 20, 28, 33, 37, 51, 66, 78, 81, 90, 92, 102, 108, 110, 111, 120, 158, 161, 169, 182, 206, 210, 211, 212, 215, 217, 222, 232, 234, 237, 256, 260, 265, 266, 267, 268, 294, 577, 602, 605, 611, 662, 665, 720, 761, 910, 950 
 
 շաբաթ (ընդամենը 42 գիծ)․ 4, 20, 28, 33, 45, 51, 53, 55, 78, 81, 90, 92, 102, 108, 110, 111, 120, 125, 165, 169, 180, 182, 204, 206, 207, 210, 212, 222, 232, 234, 256, 265, 266, 267, 268, 602, 605, 662, 665, 720, 910, 950 
 
 կիրակի (ընդամենը 41 գիծ)․ 4, 20, 28, 33, 45, 51, 53, 55, 66, 78, 81, 90, 92, 102, 108, 110, 111, 120, 125, 165, 180, 182, 204, 206, 207, 210, 212, 232, 234, 256, 265, 266, 267, 268, 602, 605, 662, 665, 720, 910, 950","我們將透過調整以下時刻表來提高可靠性，以更好地反映實際行程時間，讓乘客在車站的等候時間縮短：
 週間 (總計49線)：2、4、14、20、28、33、37、51、66、78、81、90、92、102、108、110、111、120、158、161、169、182、206、210、211、212、215、217、222、232、234、237、256、260、265、266、267、268、294、577、602、605、611、662、665、720、761、910、950 
 
 週六 (總計42線)：4、20、28、33、45、51、53、55、78、81、90、92、102、108、110、111、120、125、165、169、180、182、204、206、207、210、212、222、232、234、256、265、266、267、268、602、605、662、665、720、910、950 
 
 週日 (總計41線)：4、20、28、33、45、51、53、55、66、78、81、90、92、102、108、110、111、120、125、165、180、182、204、206、207、210、212、232、234、256、265、266、267、268、602、605、662、665、720、910、950","승객이 정류장에서 기다리는 시간을 줄여 실제 이동 시간을 더 잘 반영하기 위해 다음과 같은 시간표를 조정하여 신뢰성을 향상시키고 있습니다. 
 
 평일 (총 49개의 노선): 2, 4, 14, 20, 28, 33, 37, 51, 66, 78, 81, 90, 92, 102, 108, 110, 111, 120, 158, 161, 169, 182, 206, 210, 211, 212, 215, 217, 222, 232, 234, 237, 256, 260, 265, 266, 267, 268, 294, 577, 602, 605, 611, 662, 665, 720, 761, 910, 950 
 
 토요일(총 42개의 노선): 4, 20, 28, 33, 45, 51, 53, 55, 78, 81, 90, 92, 102, 108, 110, 111, 120, 125, 165, 169, 180, 182, 204, 206, 207, 210, 212, 222, 232, 234, 256, 265, 266, 267, 268, 602, 605, 662, 665, 720, 910, 950 
 
 일요일(총 41개의 노선): 4, 20, 28, 33, 45, 51, 53, 55, 66, 78, 81, 90, 92, 102, 108, 110, 111, 120, 125, 165, 180, 182, 204, 206, 207, 210, 212, 232, 234, 256, 265, 266, 267, 268, 602, 605, 662, 665, 720, 910, 950","以下の路線で実際の所要時間をより反映するようダイヤを調整して、信頼性を向上させ、停留所での待ち時間を短縮します：
 
 平日（合計49路線）：2、4、14、20、28、33、37、51、66、78、81、90、92、102、108、110、111、120、158、161、169、182、206、210、211、212、215、217、222、232、234、237、256、260、265、266、267、268、294、577、602、605、611、662、665、720、761、910、950 
 
 土曜日（合計42路線）：4、20、28、33、45、51、53、55、78、81、90、92、102、108、110、111、120、125、165、169、180、182、204、206、207、210、212、222、232、234、256、265、266、267、268、602、605、662、665、720、910、950
 
 日曜日（合計41路線）：4、20、28、33、45、51、53、55、66、78、81、90、92、102、108、110、111、120、125、165、180、182、204、206、207、210、212、232、234、256、265、266、267、268、602、605、662、665、720、910、950","Мы повышаем надежность, внося изменения в расписания следующих маршрутов, чтобы они лучше отражали фактическое время в пути, и чтобы наши пассажиры меньше ждали транспорт на остановках:
 
 в будни (всего 49 маршрутов): 2, 4, 14, 20, 28, 33, 37, 51, 66, 78, 81, 90, 92, 102, 108, 110, 111, 120, 158, 161, 169, 182, 206, 210, 211, 212, 215, 217, 222, 232, 234, 237, 256, 260, 265, 266, 267, 268, 294, 577, 602, 605, 611, 662, 665, 720, 761, 910, 950;
 
 по субботам (всего 42 маршрута): 4, 20, 28, 33, 45, 51, 53, 55, 78, 81, 90, 92, 102, 108, 110, 111, 120, 125, 165, 169, 180, 182, 204, 206, 207, 210, 212, 222, 232, 234, 256, 265, 266, 267, 268, 602, 605, 662, 665, 720, 910, 950;
 
 по воскресеньям (всего 41 маршрут): 4, 20, 28, 33, 45, 51, 53, 55, 66, 78, 81, 90, 92, 102, 108, 110, 111, 120, 125, 165, 180, 182, 204, 206, 207, 210, 212, 232, 234, 256, 265, 266, 267, 268, 602, 605, 662, 665, 720, 910, 950.","Chúng tôi đang cải thiện độ tin cậy thông qua việc điều chỉnh các lịch trình sau để phù hợp hơn với thời gian di chuyển thực tế nhằm rút ngắn thời gian chờ của hành khách ở các điểm dừng: 
 
 Các ngày trong tuần (tổng cộng 49 tuyến): 2, 4, 14, 20, 28, 33, 37, 51, 66, 78, 81, 90, 92, 102, 108, 110, 111, 120, 158, 161, 169, 182, 206, 210, 211, 212, 215, 217, 222, 232, 234, 237, 256, 260, 265, 266, 267, 268, 294, 577, 602, 605, 611, 662, 665, 720, 761, 910, 950 
 
 Thứ Bảy (tổng cộng 42 tuyến): 4, 20, 28, 33, 45, 51, 53, 55, 78, 81, 90, 92, 102, 108, 110, 111, 120, 125, 165, 169, 180, 182, 204, 206, 207, 210, 212, 222, 232, 234, 256, 265, 266, 267, 268, 602, 605, 662, 665, 720, 910, 950 
 
 Chủ Nhật (tổng cộng 41 tuyến): 4, 20, 28, 33, 45, 51, 53, 55, 66, 78, 81, 90, 92, 102, 108, 110, 111, 120, 125, 165, 180, 182, 204, 206, 207, 210, 212, 232, 234, 256, 265, 266, 267, 268, 602, 605, 662, 665, 720, 910, 950"
intro_05,"We’re making some route changes to various bus lines, improving access to key destinations, such as:

Optimizing Line 76 to provide a more direct route to downtown LA via Alameda St and 1st St and provide direct connectivity with the Little Tokyo/Arts District A & E Line Station.

Extending Line 217 from the Mid-City/Hollywood area to Eagle Rock Plaza through Glendale via Los Feliz Bl and Brand Bl.  

Merging Lines 267 and 686 to become an extension of Line 267, providing more convenient opportunities for local travel through Pasadena.  

Modifying Line 268 route to restore bus service to the City of Sierra Madre and connectivity to the El Monte Metrolink Station.  

We are also improving efficiency by discontinuing some very low usage trips on various lines to reinvest in added service hours for improved frequency, reliability and access listed above.  ","Estamos realizando algunos cambios de ruta en varias líneas de autobuses, mejorando el acceso a destinos clave, como:

Optimizar la Línea 76 para proporcionar una ruta más directa al centro de Los Angeles a través de Alameda St y 1st St y brindar conectividad directa con la estación Little Tokyo/Arts District de las líneas A y E de Metro.

Ampliación de la Línea 217 desde el área de Mid-City/Hollywood hasta Eagle Rock Plaza a través de Glendale vía Los Feliz Bl y Brand Bl.  

Fusionar las Líneas 267 y 686 para convertirse en una extensión de la Línea 267, brindando oportunidades más convenientes para viajes locales a través de Pasadena.  

Modificar la ruta de la Línea 268 para restaurar el servicio de autobús a la Ciudad de Sierra Madre y la conectividad a la estación El Monte de Metrolink.  

También estamos mejorando la eficiencia al suspender algunos viajes de muy bajo uso en varias líneas para reinvertir en horas de servicio adicionales para mejorar la frecuencia, la confiabilidad y el acceso mencionados anteriormente.  ","We’re making some route changes to various bus lines, improving access to key destinations, such as:
 
 Optimizing Line 76 to provide a more direct route to downtown LA via Alameda St and 1st St and provide direct connectivity with the Little Tokyo/Arts District A & E Line Station.
 
 Extending Line 217 from the Mid-City/Hollywood area to Eagle Rock Plaza through Glendale via Los Feliz Bl and Brand Bl. 
 
 Merging Lines 267 and 686 to become an extension of Line 267, providing more convenient opportunities for local travel through Pasadena. 
 
 Modifying Line 268 route to restore bus service to the City of Sierra Madre and connectivity to the El Monte Metrolink Station. 
 
 We are also improving efficiency by discontinuing some very low usage trips on various lines to reinvest in added service hours for improved frequency, reliability and access listed above.","Մենք երթուղիների փոփոխություններ ենք կատարում տարբեր ավտոբուսային գծերում՝ ապահովելով կարճ ճանապարհ դեպի հիմնական ուղղություններ, ինչպիսիք են՝ 
 
  Line 76-ի օպտիմալացումը՝ ավելի կարճ ճանապարհ ապահովելու դեպի downtown LA՝ Alameda St-ով և 1st St-ով և անմիջական երթուղու ապահովումը դեպի Little Tokyo/Arts District-ում A & E Line-ի կայարան։
 
 Ընդլայնել է Line 217-ը Mid-City/Hollywood տարածքից մինչև Eagle Rock Plaza Glendale-ով՝ Los Feliz Bl-ի և Brand Bl-ի միջով։ 
 
 Միաձուլվել են Lines 267 և 686-ը՝ դառնալով Line 267-ի երկարաձգված երթուղին՝ ապահովելով ավելի հարմար հնարավորություններ Pasadena-ով տեղական ուղևորությունների համար: 
 
 Փոփոխվել է Line 268-ը՝ վերականգնելու ավտոբուսային սպասարկումը դեպի City of Sierra Madre և կապը El Monte Metrolink կայարանի հետ: 
 
 Մենք նաև բարելավում ենք արդյունավետությունը՝ դադարեցնելով շատ ցածր ուղևորահոս ունեցող ուղևորությունները տարբեր գծերի վրա՝ կրկին ներդրելով սպասարկման ավելացված ժամեր՝ վերը թվարկված հաճախականության, հուսալիության և հասանելիության բարելավման նպատակով:","我們將對多個巴士路線進行路線變更，以改善主要目的地的進出，例如：
 
 最佳化Line 76，以提供經由Alameda St和1st St前往downtown LA得更直接路線，並與Little Tokyo/Arts District A & E Line Station直接連通。
 將Line 217從Mid-City/Hollywood地區穿越Glendale，經由Los Feliz Bl和Brand Bl延伸到Eagle Rock Plaza。 
 將Line 267和686合併成Line 267的延伸，為當地行經Pasadena提供更方便的選擇。 
 修改Line 268路線，以恢復前往City of Sierra Madre的巴士服務，並連接到El Monte Metrolink Station。 
 我們也將停駛多個路線部分使用量極低的班次來提升效率，以重新投入於增加服務時段來提高上方列出的班次頻率、可靠性與往返行程。","다양한 버스 노선의 일부 경로를 변경하여 다음과 같은 주요 목적지에 대한 접근성을 개선하고 있습니다. 
 
 Alameda St 및 1st St를 경유하여 Downtown LA까지 보다 직통 경로를 제공하고 Little Tokyo/Arts District A 및 E Line Station과 직접 연결되도록 Lince 76을 최적화합니다.
 
 Mid-City/Hollywood 지역에서 Los Feliz Bl 및 Brand Bl를 경유하여 Glendale을 거쳐 Eagle Rock Plaza까지 이동하도록 Line 217을 연장합니다. 
 
 Line 267 및 686을 통합하여 Line 267을 연장하여 Pasadena를 지나는 지역 이동 서비스에 더욱 편리한 기회를 제공합니다. 
 
 City of Sierra Madre로 이동하는 버스 운행 서비스와 El Monte Metrolink Station으로의 연결을 복원하기 위해 Line 268을 변경합니다. 
 
 또한 위에 나열된 운행 간격, 신뢰성 및 접근성을 개선하기 위해 추가 운행 서비스 시간에 재투자하려고 다양한 노선에서 이용자 수가 매우 적은 운행을 중단함으로써 효율성을 개선하고 있습니다.","様々なバス路線でルート変更を行い、主要な目的地へのアクセスを改善します。例えば、
 Line 76を改善し、Alameda Stと1st Stを経由してLAのダウンタウンへの直通ルートを提供し、A Line/E LineのLittle Tokyo/Arts District駅と直結させます。
 
 Line 217をMid-City/Hollywood地区からLos Feliz Bl and Brand Blを通りGlendaleを経由して、Eagle Rock Plazaまで延長します。 
 
 Line 267とLine 686を統合して、Line 267を延長し、Pasadena市内における移動の利便線を高めます。 
 
 Line 268のルートを変更して、City of Sierra Madreへのバスの運行を復活させ、El Monte Metrolink駅へ接続します。 
 
 また、様々な路線で利用者の少ない便を廃止し、上記で挙げているように頻度、信頼性、アクセスを改善するための増便に投資を回すことにより、効率を向上させます。","Мы вносим некоторые изменения в разные автобусные маршруты, чтобы улучшить сообщение по основным направлениям, например:
 
 оптимизация Line 76 для обеспечения прямого маршрута в центр LA через Alameda St и 1st St и прямого сообщения с Little Tokyo / Arts District Station (A/E Line);
 
 продление маршрута Line 217 от района Mid-City/Hollywood до Eagle Rock Plaza через Glendale по Los Feliz Bl и Brand Bl; 
 
 объединение маршрутов Line 267 и Line 686 в целях продления маршрута Line 267, что повысит удобство местного сообщения через Pasadena; 
 
 изменение движения по маршруту Line 268 для восстановления автобусного сообщения с City of Sierra Madre и обеспечения связи с Metrolink El Monte Station. 
 
 Мы также повышаем эффективность за счет отмены некоторых невостребованных рейсов на различных маршрутах, чтобы направить сэкономленные ресурсы на обеспечение дополнительных часов обслуживания в целях оптимизации сообщения и интервалов движения, а также для повышения надежности, как изложено выше.","Chúng tôi đang thực hiện một số thay đổi lộ trình cho nhiều tuyến xe buýt khác nhau nhằm cải thiện khả năng tiếp cận các điểm đến chính như: 
 
 Tối ưu hóa Line 76 để cung cấp lộ trình trực tiếp hơn đến downtown LA qua Alameda St và 1st St, đồng thời cung cấp kết nối trực tiếp với Little Tokyo/Arts District A & E Line Station.
 
 Kéo dài Line 217 từ khu vực Mid-City/Hollywood đến Eagle Rock Plaza qua Glendale qua Los Feliz Bl và Brand Bl. 
 
 Hợp nhất Line 267 và Line 686 thành đoạn kéo dài của Line 267 để mang đến cơ hội đi lại thuận tiện hơn trong địa phương qua Pasadena. 
 
 Sửa đổi lộ trình của Line 268 để khôi phục dịch vụ xe buýt đến City of Sierra Madre và kết nối với El Monte Metrolink Station. 
 
 Chúng tôi cũng đang cải thiện hiệu quả hoạt động bằng cách cho ngừng một số chuyến có lượng hành khách sử dụng rất thấp trên nhiều tuyến khác nhau để tái đầu tư vào số giờ dịch vụ bổ sung nhằm cải thiện tần suất, độ tin cậy và khả năng tiếp cận nêu trên."
